adj,PERSON_raw,PRODUCT_raw,PERSON_raw_ratio,PRODUCT_raw_ratio,PERSON_norm_ratio,PRODUCT_norm_ratio
excellent,21,439,0.04565217391304348,0.9543478260869566,0.04565217391304348,0.9543478260869566
current,112,2614,0.041085840058694055,0.9589141599413059,0.041085840058694055,0.9589141599413059
real,253,8445,0.029087146470452976,0.970912853529547,0.029087146470452976,0.970912853529547
amazing,97,1766,0.05206655931293613,0.9479334406870639,0.05206655931293613,0.9479334406870639
low,68,3772,0.017708333333333333,0.9822916666666667,0.017708333333333333,0.9822916666666667
lost,6,143,0.040268456375838924,0.959731543624161,0.040268456375838924,0.959731543624161
full,73,6367,0.011335403726708075,0.988664596273292,0.011335403726708075,0.988664596273292
fantastic,20,450,0.0425531914893617,0.9574468085106383,0.0425531914893617,0.9574468085106383
special,46,1687,0.026543566070398154,0.9734564339296018,0.026543566070398154,0.9734564339296018
beautiful,73,1423,0.04879679144385027,0.9512032085561497,0.04879679144385027,0.9512032085561497
nice,98,3465,0.0275049115913556,0.9724950884086444,0.0275049115913556,0.9724950884086444
right,142,5042,0.027391975308641976,0.972608024691358,0.027391975308641976,0.972608024691358
available,13,535,0.023722627737226276,0.9762773722627737,0.023722627737226276,0.9762773722627737
wonderful,28,487,0.05436893203883495,0.945631067961165,0.05436893203883495,0.945631067961165
legal,31,1758,0.01732811626607043,0.9826718837339296,0.01732811626607043,0.9826718837339296
local,68,1520,0.042821158690176324,0.9571788413098237,0.042821158690176324,0.9571788413098237
fine,85,612,0.12195121951219512,0.8780487804878049,0.12195121951219512,0.8780487804878049
easy,8,1219,0.006519967400162999,0.993480032599837,0.006519967400162999,0.993480032599837
political,39,4273,0.009044526901669759,0.9909554730983302,0.009044526901669759,0.9909554730983302
old,762,7338,0.09407407407407407,0.9059259259259259,0.09407407407407407,0.9059259259259259
close,49,1020,0.04583723105706267,0.9541627689429373,0.04583723105706267,0.9541627689429373
strong,79,1561,0.048170731707317074,0.9518292682926829,0.048170731707317074,0.9518292682926829
professional,87,799,0.0981941309255079,0.9018058690744921,0.0981941309255079,0.9018058690744921
busy,7,153,0.04375,0.95625,0.04375,0.95625
helpful,5,246,0.0199203187250996,0.9800796812749004,0.0199203187250996,0.9800796812749004
friendly,12,397,0.029339853300733496,0.9706601466992665,0.029339853300733496,0.9706601466992665
ready,48,157,0.23414634146341465,0.7658536585365854,0.23414634146341465,0.7658536585365854
pleasant,3,95,0.030612244897959183,0.9693877551020408,0.030612244897959183,0.9693877551020408
happy,30,1027,0.02838221381267739,0.9716177861873226,0.02838221381267739,0.9716177861873226
militant,0,0,0.0,0.0,0.0,0.0
willing,59,122,0.3259668508287293,0.6740331491712708,0.3259668508287293,0.6740331491712708
young,619,1748,0.2615124630333756,0.7384875369666244,0.2615124630333756,0.7384875369666244
junior,8,64,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.8888888888888888
senior,38,267,0.12459016393442623,0.8754098360655738,0.12459016393442623,0.8754098360655738
able,18,94,0.16071428571428573,0.8392857142857143,0.16071428571428573,0.8392857142857143
concerned,0,0,0.0,0.0,0.0,0.0
pleased,0,0,0.0,0.0,0.0,0.0
sure,18,461,0.037578288100208766,0.9624217118997912,0.037578288100208766,0.9624217118997912
interested,10,59,0.14492753623188406,0.855072463768116,0.14492753623188406,0.855072463768116
glad,2,62,0.03125,0.96875,0.03125,0.96875
